claim_id,trunk_ids,claim,claim_class,evidence_state,confidence,supporting_sources,boundary_or_counterevidence,deployment_status,intent_status,next_action,owner,status,updated,visibility
SOV-CLM-0019,"T09,T15","An experimentally validated UAV swarm phased-array concept demonstrates that multiple airborne RF elements can form and steer a combined aperture.",Laboratory distributed-array capability,E2,HIGH,SOV-SRC-0019,"Experimental validation does not establish arbitrary operational scale coherent endurance or deployment against people.",EXPERIMENTAL DEMONSTRATION,NOT REQUIRED,"Register synchronization error positioning tolerance element count aperture gain and flight constraints.",MT Tech Industries LLC,ACTIVE,2026-07-11,PUBLIC
SOV-CLM-0020,"T09,T10,T15","A 2026 swarm-array study formalizes cooperative beamforming that forwards desired signals while suppressing interference for remote-sensing applications.",Formal distributed-control capability,E1,MEDIUM-HIGH,SOV-SRC-0020,"Recent theoretical or simulation performance does not establish flight-tested hardware operational deployment or unrestricted scale.",FORMAL / SIMULATION STUDY,NOT REQUIRED,"Track hardware validation synchronization overhead navigation error and power constraints.",MT Tech Industries LLC,ACTIVE,2026-07-11,PUBLIC
SOV-CLM-0021,"T09,T10","A 2026 multi-physics HPM counter-UAS simulation framework integrates propagation antenna patterns pointing error coupling semiconductor damage target orientation thermal effects and safety constraints into one engagement model.",Formal systems simulation,E1,HIGH,SOV-SRC-0021,"The framework models rather than independently proves field performance; outputs depend on assumptions parameters and validation quality.",SIMULATION FRAMEWORK,COUNTER-UAS,"Compare model assumptions with disclosed test data and program requirements.",MT Tech Industries LLC,ACTIVE,2026-07-11,PUBLIC
SOV-CLM-0022,"T09,T10,T12","The National Academies assessed directed pulsed radiofrequency energy as a mechanism consistent with many distinctive acute observations in the anomalous-health-incident record available to its committee.",Institutional mechanism assessment,E1,MEDIUM-HIGH,SOV-SRC-0022,"Consistency does not identify a device source operator or universal explanation and later official assessments may weigh evidence differently.",MECHANISM ASSESSED; ATTRIBUTION UNRESOLVED,UNDETERMINED,"Maintain a dated comparison of medical intelligence exposure and alternative-mechanism assessments.",MT Tech Industries LLC,ACTIVE,2026-07-11,PUBLIC
SOV-CLM-0023,"T08,T09,T15","Areté describes AIMS as a low-SWaP aerial or ground image-based system that detects and geolocates people estimates body position measures heart and respiration rates supports remote wound characterization and integrates with TAK.",Named product capability,E3,MEDIUM-HIGH,SOV-SRC-0024,"The record is first-party product documentation; independent accuracy range obscuration and field-performance evidence remain separate.",PRODUCT DESCRIBED; TRL 6 CLAIMED,SEARCH AND RESCUE / TRIAGE,"Locate SBIR reports independent evaluations procurement records and operating-condition data.",MT Tech Industries LLC,ACTIVE,2026-08-04,PUBLIC
SOV-CLM-0024,"T08,T15","A University of South Australia UAV trial measured heart and respiratory rates from approximately three metres using video-derived skin-tone changes and minute head movements.",Controlled aerial optical sensing capability,E2,HIGH,SOV-SRC-0025,"The modality was visible-band video and does not support through-wall or through-material claims.",RESEARCH TRIAL,SEARCH AND RESCUE / TRIAGE,"Locate the underlying paper protocol participant count ground truth and error metrics.",MT Tech Industries LLC,ACTIVE,2026-08-04,PUBLIC
SOV-CLM-0025,"T09,T15","IntelliNet Sensors announced the Lynx6-A as a remotely connected breathing and heartbeat detector designed for unmanned-vehicle or small-UAV-assisted survivor search under rubble.",Commercial product announcement,E3,MEDIUM,SOV-SRC-0026,"Company launch material does not independently establish detection depth accuracy operational adoption or continuing availability.",PRODUCT ANNOUNCED,FIRST RESPONSE / LAW ENFORCEMENT,"Locate patent records technical specifications independent trials customers and procurement history.",MT Tech Industries LLC,ACTIVE,2026-08-04,PUBLIC
SOV-CLM-0026,"T06,T10,T15","Wi-Chat demonstrates physical-model-guided large-language-model interpretation of Wi-Fi Channel State Information for zero-shot human activity recognition on real-world datasets.",Laboratory AI sensing capability,E2,MEDIUM-HIGH,SOV-SRC-0027,"The preprint does not establish vital-sign extraction persistent identity linkage unrestricted through-wall operation or closed-loop actuation.",PREPRINT DEMONSTRATION,NOT REQUIRED,"Register datasets activity classes baselines generalization failure cases and independent reproduction.",MT Tech Industries LLC,ACTIVE,2026-08-04,PUBLIC
SOV-CLM-0027,"T07,T10,T15","Lightweight multimodal-projector adaptation has transferred RGB-pretrained vision-language models to drone thermal imagery for species recognition enumeration and habitat-context interpretation.",Laboratory multimodal adaptation capability,E2,HIGH,SOV-SRC-0028,"The evidence is ecological monitoring and does not establish human bio-surveillance psychological inference or operational targeting.",PREPRINT DEMONSTRATION,ECOLOGICAL MONITORING,"Track independent replication human-scene transfer calibration and failure modes separately.",MT Tech Industries LLC,ACTIVE,2026-08-04,PUBLIC
SOV-CLM-0028,"T10,T11,T15","A UAV-swarm smart-metering study models a hierarchical mobile collection network with leader and slave drones task reallocation fault tolerance and payload-energy constraints using OPNET-based simulation.",Formal infrastructure simulation,E1,HIGH,SOV-SRC-0029,"The study supports networking and endurance architecture only; it does not validate physiological sensing RF-hearing cognitive actuation or full convergence closure.",SIMULATION / USE-CASE MODELLING,SMART METERING,"Reproduce topology assumptions correct hardware labels and compare simulation outputs with flight tests.",MT Tech Industries LLC,ACTIVE,2026-08-04,PUBLIC
SOV-CLM-0029,"T10,T15","The SIM7600E-H HAT is an LTE Cat-4 cellular and GNSS module rather than an IEEE 802.16 WiMAX adapter.",Hardware classification correction,E3,HIGH,"SOV-SRC-0029,SOV-SRC-0030","The source study's original component label must be preserved as an error while active architecture records use the vendor-supported classification.",VENDOR SPECIFICATION,NOT REQUIRED,"Record the correction in every derivative hardware table and identify any actual WiMAX radio separately.",MT Tech Industries LLC,ACTIVE / CORRECTION,2026-08-04,PUBLIC
SOV-CLM-0030,"T06,T07,T08,T09,T10,T11,T14,T15","The expanded corpus now documents aerial optical and radar physiology named UAV-assisted signs-of-life products LLM-mediated CSI activity inference thermal-drone VLM adaptation and UAV-swarm infrastructural collection as additional modules within the existing convergence surface.",Cross-domain convergence extension,E0,MEDIUM-HIGH,"SOV-SRC-0017,SOV-SRC-0023,SOV-SRC-0024,SOV-SRC-0025,SOV-SRC-0026,SOV-SRC-0027,SOV-SRC-0028,SOV-SRC-0029","The added records do not independently prove person-specific RF actuation response-driven adaptation persistent identity linkage or one strategically directed deployment.",COMPONENT BASIS EXPANDED; INTEGRATION CASE-SPECIFIC,CASE-SPECIFIC,"Qualify the new edges under R0-R7 and require synchronized mobile fixed-system evidence for adaptive closure.",MT Tech Industries LLC,ACTIVE / VALIDATION REQUIRED,2026-08-04,PUBLIC
