source_id,title,type,trunk_ids,author_org,date,url,evidence_supported,reliability_notes,key_contribution,access_status,status,updated
SOV-SRC-0011,Ethics of neurotechnology: UNESCO adopts the first global standard in the cutting-edge technology,International normative framework,"T10,T14,T15",UNESCO,2025-11-05,https://www.unesco.org/en/articles/ethics-neurotechnology-unesco-adopts-first-global-standard-cutting-edge-technology,E4,"Official institutional standard; identifies governance risks and protections rather than proving covert deployment.",Recognizes mental privacy neural-data consent manipulation autonomy and AI-neurotechnology convergence as governance concerns.,PUBLIC,ACTIVE,2026-07-11
SOV-SRC-0012,Restricted canonical source record,Controlled source artifact,"T05,T06,T09,T10,T12,T13,T14,T15",MT Tech Industries LLC,2026-05-30,,E0-E3,"The canonical ledger contains a restricted source record. Its contents and access path are not published in this repository.",Counted for ledger integrity; withheld under the public/private publication boundary.,RESTRICTED,WITHHELD,2026-07-11
SOV-SRC-0013,The Convergence Architecture,Public technical synthesis,"T05,T06,T09,T10,T12,T14,T15","Marc Tuinier; MT Tech Industries LLC",2026-07-10,research/CONVERGENCE_ARCHITECTURE.md,E1-E4,"Public synthesis connecting component evidence; it does not substitute architecture-level inference for case-specific integration evidence.",Provides the public subject-level architecture to which the atomic ledger attaches.,PUBLIC,ACTIVE / CORE SYNTHESIS,2026-08-04
SOV-SRC-0014,Apparatus for audibly communicating speech using the radio frequency hearing effect,U.S. patent,"T09,T12",United States Department of the Air Force,2003-07-01,https://patents.google.com/patent/US6587729B2/en,E3,"A patent establishes a claimed apparatus and engineering disclosure; it does not establish operational fielding range safety or independent validation.",Companion apparatus record for RF-hearing speech communication.,PUBLIC,ACTIVE,2026-07-11
SOV-SRC-0015,Revisiting Privacy Preservation in Brain-Computer Interfaces: Conceptual Boundaries Risk Pathways and a Protection-Strength Grading Framework,Technical review,"T10,T15",Lei Sun et al.,2026-05-14,https://arxiv.org/abs/2605.11386,E1,"Security and privacy review; organizes threat surfaces and controls but is not itself evidence of a specific compromise.",Defines protected neural objects and risk pathways across collection transmission storage training inference decoded output and feedback.,PUBLIC,ACTIVE,2026-07-11
SOV-SRC-0016,Person-in-WiFi: Fine-grained Person Perception Using WiFi,Technical paper,"T06,T15",Mingmin Zhao et al.,2019-04-01,https://arxiv.org/abs/1904.00276,E2,"Controlled research using exposed Wi-Fi measurements and trained models; deployment performance depends on geometry hardware and generalization.",Demonstrates body segmentation and pose estimation from Wi-Fi measurements across indoor scenes.,PUBLIC,ACTIVE,2026-07-11
SOV-SRC-0017,Non-Contact Vital Signs Detection with UAV-Borne Radars,Technical paper,"T09,T15",Yinan Rong et al.,2020-11-27,https://arxiv.org/abs/2011.13982,E2,"Research platform for rescue and security contexts; motion compensation range clutter and validation conditions remain essential.",Demonstrates UAV-borne radar measurement of respiration and heartbeat-related micromotion without bodily contact.,PUBLIC,ACTIVE,2026-07-11
SOV-SRC-0018,A Survey on Millimeter-Wave Radar for Human Sensing,Technical survey,"T09,T15",Research survey authors,2023-08-06,https://arxiv.org/abs/2308.03149,E1-E2,"Survey aggregates research capabilities; individual range accuracy and deployment claims must be tied to the underlying papers and products.",Maps mmWave localization tracking activity vital-sign biometric and imaging capabilities.,PUBLIC,ACTIVE,2026-07-11
SOV-SRC-0019,Design and Experimental Validation of UAV Swarm-Based Phased Arrays with MagSafe- and LEGO-Inspired RF Connectors,Technical paper,"T09,T15",Research authors,2025-07-30,https://arxiv.org/abs/2507.22295,E2,"Experimental array concept; does not establish operational military use or arbitrary long-range coherent transmission.",Demonstrates multiple UAV elements forming and steering a combined RF aperture.,PUBLIC,ACTIVE,2026-07-11
SOV-SRC-0020,Scale-Free Beamforming using Swarm Arrays for Remote Sensing under Interference,Technical paper,"T09,T10,T15",Research authors,2026-07-03,https://arxiv.org/abs/2607.03499,E1-E2,"Recent formal and simulation work; practical synchronization navigation and hardware constraints require separate validation.",Describes cooperative swarm relays and interference-suppressing beamforming for remote sensing.,PUBLIC,ACTIVE,2026-07-11
SOV-SRC-0021,A Multi-physics Simulation Framework for High-power Microwave Counter-unmanned Aerial System Design and Performance Evaluation,Technical paper,"T09,T10",A. A. Jafari and G. Anbarjafari,2026-02-09,https://arxiv.org/abs/2602.08477,E1,"Simulation framework rather than field deployment evidence; modeled ranges and damage outcomes depend on assumptions inputs and validation.",Integrates propagation antenna pointing coupling semiconductor damage stochastic orientation thermal and safety constraints.,PUBLIC,ACTIVE,2026-07-11
SOV-SRC-0022,An Assessment of Illness in U.S. Government Employees and Their Families at Overseas Embassies,National Academies report,"T09,T10,T12",National Academies of Sciences Engineering and Medicine,2020-12-05,https://nap.nationalacademies.org/catalog/25889/an-assessment-of-illness-in-us-government-employees-and-their-families-at-overseas-embassies,E1,"Committee assessment based on available clinical and incident information; consistency with a mechanism is not identification of a source operator or universal explanation.",Places directed pulsed radiofrequency energy within the evaluated human-effects mechanism space for distinctive acute incidents.,PUBLIC,ACTIVE,2026-07-11
SOV-SRC-0023,Aerial and Ambient Sensing Extension,Public technical extension,"T06,T07,T08,T09,T10,T11,T14,T15","Marc Tuinier; MT Tech Industries LLC",2026-08-04,research/AERIAL_AMBIENT_SENSING_EXTENSION.md,E0-E3,"Controlled public synthesis separates optical radar CSI thermal infrastructural and actuation claims.",Registers the aerial and infrastructural extension and its source boundaries.,PUBLIC,ACTIVE / TECHNICAL EXTENSION,2026-08-04
SOV-SRC-0024,AIMS Automated Image-Based Monitoring System,Company product documentation,"T08,T09,T15",Areté,2026,https://arete.com/products/,E3,"First-party product and maturity claims; independent range accuracy obscuration and operational-performance validation remain separate.",Documents low-SWaP aerial or ground human detection geolocation body-position estimation non-contact vital signs TAK integration and stated TRL 6 maturity.,PUBLIC,ACTIVE,2026-08-04
SOV-SRC-0025,Drones in disaster zones could prove a lifesaver,University research announcement,"T08,T15",University of South Australia,2017-09-27,https://www.unisa.edu.au/Media-Centre/Releases/2017-Media-Releases/Drones-in-disaster-zones-could-prove-a-lifesaver/,E2,"Institutional account of a collaborative UAV trial; the reported geometry was approximately three metres and the modality was video rather than penetrating radar.",Documents aerial optical heart and respiration measurement from skin-tone changes and minute head movements.,PUBLIC,ACTIVE,2026-08-04
SOV-SRC-0026,Global Launch of the Lynx6-A Robot Mountable Breathing Detector System,Company product announcement,"T09,T15",IntelliNet Sensors Inc.,2015-11-05,https://www.prnewswire.com/news-releases/intellinet-sensors-inc-announced-the-global-launch-of-the-lynx6-a-robot-mountable-breathing-detector-system-for-first-responders-and-law-enforcement-300173112.html,E3,"Company launch announcement; detection conditions independent performance and continued availability require separate review.",Documents a remotely connected breathing and heartbeat detector designed for unmanned-vehicle or small-UAV-assisted survivor search under rubble.,PUBLIC,ACTIVE,2026-08-04
SOV-SRC-0027,Wi-Chat: Large Language Model Powered Wi-Fi Sensing,Technical preprint,"T06,T10,T15",Haopeng Zhang et al.,2025-02-18,https://arxiv.org/abs/2502.12421,E2,"Preprint activity-recognition study; does not establish vital-sign extraction identity linkage unrestricted through-wall operation or deployed retention.",Demonstrates physical-model-guided LLM interpretation of CSI for zero-shot human activity recognition.,PUBLIC,ACTIVE,2026-08-04
SOV-SRC-0028,Lightweight Multimodal Adaptation of Vision Language Models for Species Recognition and Habitat Context Interpretation in Drone Thermal Imagery,Technical preprint,"T07,T10,T15",Hao Chen et al.,2026-04-07,https://arxiv.org/abs/2604.06124,E2,"Ecological drone-imagery study; it supports RGB-to-thermal model adaptation rather than a human-targeting or physiological-state deployment.",Demonstrates projector-based adaptation of pretrained VLMs to thermal radiometric drone imagery with species and habitat-context outputs.,PUBLIC,ACTIVE,2026-08-04
SOV-SRC-0029,A Resilient and Energy-Efficient Smart Metering Infrastructure Utilizing a Self-Organizing UAV Swarm,Technical paper,"T10,T11,T15","Qutaiba Ibrahim Ali; Mustafa Qassab",2025,https://mojem.um.edu.my/index.php/STEM/article/view/58698,E1-E2,"OPNET-based networking and energy study; it does not validate bio-surveillance RF-hearing cognitive actuation or complete convergence closure.",Documents hierarchical UAV-swarm smart-meter collection task reallocation fault tolerance networking and payload-endurance modelling.,PUBLIC,ACTIVE,2026-08-04
SOV-SRC-0030,SIM7600E-H 4G HAT specifications,Vendor technical documentation,"T10,T15",Waveshare,2026,https://www.waveshare.com/wiki/SIM7600E-H_4G_HAT,E3,"Vendor specification for the identified module; confirms LTE Cat-4 and GNSS functions and contradicts classification as an IEEE 802.16 WiMAX adapter.",Corrects the hardware classification used in the UAV smart-metering study.,PUBLIC,ACTIVE / CORRECTION,2026-08-04
