path_id,path_name,source_trunk,target_trunk,physical_or_digital_mechanism,required_infrastructure,reachability,evidence_state,source_ids,known_constraints,integration_question,test_or_record_needed,owner,status,updated,visibility
SOV-PATH-0011,Wi-Fi body representation,T06,T15,"Multipath channel measurements are transformed by trained models into body segmentation and pose estimates.","Instrumented Wi-Fi transmitter receiver channel measurements labeled training data and inference model",R2,E2,SOV-SRC-0016,"Scene dependence subject overlap hardware access training distribution and limited identity semantics","When can an environmental body representation be linked to a persistent person model or another sensor stream?","Cross-scene replication identity-separation experiment and fusion gain analysis",MT Tech Industries LLC,ACTIVE,2026-07-11,PUBLIC
SOV-PATH-0012,UAV-borne physiological radar,T09,T15,"An airborne radar measures chest and body micromotion while platform-motion and clutter processing recover respiratory and heartbeat-related components.","UAV radar navigation attitude estimation motion compensation signal processing and validation reference",R2,E2,SOV-SRC-0017,"Airframe vibration geometry range obstruction subject motion and ground-truth quality","How does mobile geometry improve or degrade physiological observability compared with fixed radar?","Flight-path controlled trials raw radar records ground truth and error-versus-geometry map",MT Tech Industries LLC,ACTIVE,2026-07-11,PUBLIC
SOV-PATH-0013,Airborne distributed RF aperture,T09,T10,"Multiple UAV RF elements synchronize position and phase to create a steerable combined aperture.","Multiple airframes RF elements clocks localization synchronization control link power and calibration",R6,E2,"SOV-SRC-0019,SOV-SRC-0020","Phase error navigation error vibration payload power endurance safety and regulatory constraints","What reception transmission or sensing gain survives realistic mobile synchronization errors?","Hardware-in-loop testing flight logs field maps interference trials and independent replication",MT Tech Industries LLC,ACTIVE,2026-07-11,PUBLIC
SOV-PATH-0014,Mobile geometry and fixed-system closure,"T09,T15",T14,"A drone or swarm supplies localization orientation line-of-sight relay or response sensing while a separate fixed or vehicle system performs processing or actuation.","Mobile sensors localization relay fixed processing target model actuator authority synchronized event logs and update rule",R7,E0,"SOV-SRC-0013,SOV-SRC-0017,SOV-SRC-0019,SOV-SRC-0020","No single component source proves full closure identity linkage target selection or human-directed use","Which evidence shows a mobile node feeding a specific fixed actuator and updating from measured response?","Synchronized telemetry RF logs command records channel isolation and repeated causal perturbation tests",MT Tech Industries LLC,ACTIVE / VALIDATION REQUIRED,2026-07-11,PUBLIC
SOV-PATH-0015,Aerial optical physiological monitoring,T08,T15,"Visible-band drone imagery captures skin-tone variation and minute head or body motion from which heart and respiration estimates are derived.","UAV camera stable hover or tracked flight video processing illumination control motion compensation and physiological ground truth",R2,E2,"SOV-SRC-0024,SOV-SRC-0025","Line of sight lighting skin visibility compression platform motion distance and validation quality","When does aerial optical physiology remain reliable across motion altitude lighting and obscuration?","Controlled flight trials synchronized ECG and respiration reference raw video error-versus-geometry map and independent evaluation",MT Tech Industries LLC,ACTIVE,2026-08-04,PUBLIC
SOV-PATH-0016,UAV-assisted survivor vital-sign detection,T09,T15,"A remotely connected breathing and heartbeat detector is carried or positioned by an unmanned platform to search for signs of life under rubble.","Unmanned carrier detector camera remote link positioning signal processing and search workflow",R3,E3,SOV-SRC-0026,"Company announcement limited technical detail unknown depth accuracy adoption and present availability","What measurable detection performance and networking capability were independently reproduced or procured?","Patent review product manual independent field trial procurement record and surviving hardware inspection",MT Tech Industries LLC,ACTIVE / PRODUCT REVIEW,2026-08-04,PUBLIC
SOV-PATH-0017,LLM-mediated CSI activity inference,T06,T10,"Channel State Information plus physical-model guidance is supplied to a language model that infers a human activity class.","CSI dataset prompt or representation physical-model knowledge LLM inference and activity labels",R2,E2,SOV-SRC-0027,"Dataset scope environment dependence prompt sensitivity activity classes and no demonstrated identity or vital-sign closure","What generalization survives new rooms hardware occupants and adversarial prompt or signal perturbation?","Independent reproduction cross-environment benchmark raw-output audit and comparison with conventional classifiers",MT Tech Industries LLC,ACTIVE,2026-08-04,PUBLIC
SOV-PATH-0018,Thermal-drone VLM adaptation,T07,T15,"Selected multimodal projection modules align thermal-radiometric drone imagery with semantic representations learned from RGB-pretrained vision-language models.","Drone thermal dataset pretrained VLM projector training paired or contextual RGB data and evaluation labels",R2,E2,SOV-SRC-0028,"Ecological task domain calibration dataset shift thermal resolution and no demonstrated human physiological inference","Which thermal semantics transfer to human scenes without importing unsupported psychological or biometric claims?","Cross-domain benchmark calibration review failure analysis and human-scene study under explicit consent",MT Tech Industries LLC,ACTIVE,2026-08-04,PUBLIC
SOV-PATH-0019,UAV smart-meter collection and relay,T11,T15,"A hierarchical leader and slave UAV network collects smart-meter data reallocates tasks relays records to a management centre and models payload-energy constraints.","Smart meters UAV swarm local coordination cellular or other backhaul mission control storage security and energy model",R4,E1,"SOV-SRC-0029,SOV-SRC-0030","Simulation assumptions hardware-label error no flight validation and smart-meter collection does not itself equal appliance disaggregation or person identification","What network and endurance results survive corrected hardware classification and real flight conditions?","Reproducible simulation configuration corrected bill of materials field test logs packet captures and energy measurements",MT Tech Industries LLC,ACTIVE / CORRECTION REQUIRED,2026-08-04,PUBLIC
SOV-PATH-0020,Aerial and infrastructural adaptive closure,"T06,T07,T08,T09,T11,T15",T14,"Mobile optical RF thermal CSI and infrastructural observations feed a linked state model while a fixed mobile or digital actuator selects a later stimulus and measures response.","Qualified sensing edges identity or session linkage synchronized telemetry actuator authority response measure update rule and repeatable causal perturbation",R7,E0,"SOV-SRC-0013,SOV-SRC-0017,SOV-SRC-0023,SOV-SRC-0024,SOV-SRC-0025,SOV-SRC-0027,SOV-SRC-0028,SOV-SRC-0029","New sources expand sensing inference and relay modules but do not prove human-directed actuation persistent linkage or response-driven updating","Which bounded case shows the aerial or infrastructural node causally changing a later actuator action from measured human response?","Synchronized mobile and fixed logs identity separation channel isolation randomized perturbation and repeated update-rule verification",MT Tech Industries LLC,ACTIVE / VALIDATION REQUIRED,2026-08-04,PUBLIC
